Text,text,compound,negative,neutral,positive,sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .","The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",0.5423,0.0,0.847,0.153,positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility","$ESI on lows, down $1.50 to $2.50 BK a real possibility",-0.2023,0.167,0.833,0.0,negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",0.1531,0.064,0.856,0.08,positive
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .","According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",0.0,0.0,1.0,0.0,neutral
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .","The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",0.0,0.0,1.0,0.0,neutral
$SPY wouldn't be surprised to see a green close,$SPY wouldn't be surprised to see a green close,-0.1695,0.192,0.808,0.0,negative
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,-0.25,0.222,0.778,0.0,negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",0.2103,0.065,0.847,0.088,positive
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,0.0,0.0,1.0,0.0,neutral
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .","The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",0.0,0.0,1.0,0.0,neutral
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,0.2732,0.0,0.84,0.16,positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,-0.4019,0.231,0.655,0.114,negative
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",0.4404,0.0,0.896,0.104,positive
Viking Line has canceled some services .,Viking Line has canceled some services .,0.0,0.0,1.0,0.0,neutral
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .","Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",0.296,0.0,0.936,0.064,positive
$FB gone green on day,$FB gone green on day,0.0,0.0,1.0,0.0,neutral
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,0.1779,0.0,0.892,0.108,positive
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .","According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",0.0,0.0,1.0,0.0,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,0.296,0.0,0.845,0.155,positive
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,0.0,0.0,1.0,0.0,neutral
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,0.0,0.0,1.0,0.0,neutral
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",0.5994,0.0,0.647,0.353,positive
